23,158,311802,2221106,19.0,7.0,4.0,,,,,,,,,,,,250.0,218.0,342.0,206.0,,,,,,,,,,,,3
33,175,348028,2479889,19.0,7.0,4.0,,,,,,,,,,,,250.0,33.0,111.0,112.0,,,,,,,,,,,,3
33,186,348030,2479899,19.0,7.0,4.0,,,,,,,,,,,,250.0,48.0,96.0,112.0,,,,,,,,,,,,3
33,226,348037,2479944,19.0,7.0,4.0,,,,,,,,,,,,80.0,65.0,127.0,113.0,,,,,,,,,,,,3
33,226,348038,2479949,19.0,7.0,4.0,,,,,,,,,,,,48.0,112.0,65.0,150.0,,,,,,,,,,,,3
33,226,348039,2479951,19.0,7.0,4.0,,,,,,,,,,,,250.0,77.0,95.0,80.0,,,,,,,,,,,,3
33,226,348039,2479954,19.0,7.0,4.0,,,,,,,,,,,,81.0,47.0,96.0,150.0,,,,,,,,,,,,3
33,255,348043,2479980,19.0,7.0,4.0,,,,,,,,,,,,32.0,112.0,67.0,150.0,,,,,,,,,,,,3
33,295,348047,2480009,19.0,7.0,4.0,,,,,,,,,,,,112.0,48.0,96.0,48.0,,,,,,,,,,,,3
58,435,455047,3242717,19.0,7.0,4.0,,,,,,,,,,,,270.0,184.0,104.0,136.0,,,,,,,,,,,,3
58,463,455049,3242739,19.0,7.0,4.0,,,,,,,,,,,,157.0,198.0,172.0,150.0,,,,,,,,,,,,3
58,488,455052,3242759,19.0,7.0,4.0,,,,,,,,,,,,145.0,187.0,124.0,150.0,,,,,,,,,,,,3
58,562,455058,3242807,19.0,7.0,4.0,,,,,,,,,,,,250.0,172.0,118.0,178.0,,,,,,,,,,,,3
61,467,467726,3333540,19.0,7.0,4.0,,,,,,,,,,,,250.0,168.0,184.0,111.0,,,,,,,,,,,,3
61,511,467730,3333573,19.0,7.0,4.0,,,,,,,,,,,,250.0,160.0,384.0,152.0,,,,,,,,,,,,3
61,616,467739,3333642,19.0,7.0,4.0,,,,,,,,,,,,250.0,143.0,321.0,417.0,,,,,,,,,,,,3
114,938,57762,411951,19.0,7.0,4.0,,,,,,,,,,,,144.0,65.0,95.0,32.0,,,,,,,,,,,,3
114,992,57771,412025,19.0,7.0,4.0,,,,,,,,,,,,250.0,112.0,112.0,81.0,,,,,,,,,,,,3
114,995,57773,412036,19.0,7.0,4.0,,,,,,,,,,,,144.0,80.0,95.0,65.0,,,,,,,,,,,,3
114,1016,57776,412062,19.0,7.0,4.0,,,,,,,,,,,,250.0,97.0,127.0,48.0,,,,,,,,,,,,3
114,1019,57777,412070,19.0,7.0,4.0,,,,,,,,,,,,240.0,81.0,127.0,48.0,,,,,,,,,,,,3
114,1019,57777,412073,19.0,7.0,4.0,,,,,,,,,,,,128.0,128.0,64.0,48.0,,,,,,,,,,,,3
114,1019,57777,412075,19.0,7.0,4.0,,,,,,,,,,,,176.0,80.0,111.0,150.0,,,,,,,,,,,,3
147,1173,199194,1416387,19.0,7.0,4.0,,,,,,,,,,,,216.0,72.0,104.0,150.0,,,,,,,,,,,,3
147,1193,199195,1416392,19.0,7.0,4.0,,,,,,,,,,,,250.0,88.0,104.0,104.0,,,,,,,,,,,,3
147,1223,199202,1416423,19.0,7.0,4.0,,,,,,,,,,,,250.0,32.0,160.0,88.0,,,,,,,,,,,,3
147,1234,199204,1416436,19.0,7.0,4.0,,,,,,,,,,,,136.0,56.0,104.0,150.0,,,,,,,,,,,,3
147,1248,199206,1416445,19.0,7.0,4.0,,,,,,,,,,,,88.0,64.0,104.0,120.0,,,,,,,,,,,,3
147,1285,199212,1416489,19.0,7.0,4.0,,,,,,,,,,,,168.0,48.0,144.0,150.0,,,,,,,,,,,,3
147,1311,199213,1416495,19.0,7.0,4.0,,,,,,,,,,,,168.0,112.0,120.0,150.0,,,,,,,,,,,,3
165,1366,272723,1943004,19.0,7.0,4.0,,,,,,,,,,,,481.0,183.0,168.0,177.0,,,,,,,,,,,,3
165,1407,272728,1943032,19.0,7.0,4.0,,,,,,,,,,,,250.0,272.0,136.0,169.0,,,,,,,,,,,,3
168,1382,283063,2017183,19.0,7.0,4.0,,,,,,,,,,,,110.0,33.0,127.0,150.0,,,,,,,,,,,,3
168,1479,283069,2017246,19.0,7.0,4.0,,,,,,,,,,,,127.0,65.0,111.0,64.0,,,,,,,,,,,,3
168,1493,283073,2017273,19.0,7.0,4.0,,,,,,,,,,,,129.0,95.0,80.0,150.0,,,,,,,,,,,,3
168,1493,283074,2017278,19.0,7.0,4.0,,,,,,,,,,,,607.0,97.0,79.0,64.0,,,,,,,,,,,,3
168,1515,283077,2017309,19.0,7.0,4.0,,,,,,,,,,,,304.0,112.0,80.0,80.0,,,,,,,,,,,,3
177,1507,286850,2044130,19.0,7.0,4.0,,,,,,,,,,,,136.0,101.0,106.0,150.0,,,,,,,,,,,,3
177,1555,286855,2044167,19.0,7.0,4.0,,,,,,,,,,,,250.0,124.0,169.0,236.0,,,,,,,,,,,,3
187,1593,289806,2065234,19.0,7.0,4.0,,,,,,,,,,,,496.0,131.0,109.0,150.0,,,,,,,,,,,,3
198,2404,295164,2103057,19.0,7.0,4.0,,,,,,,,,,,,315.0,139.0,136.0,150.0,,,,,,,,,,,,3
198,2800,295172,2103104,19.0,7.0,4.0,,,,,,,,,,,,250.0,125.0,99.0,151.0,,,,,,,,,,,,3
203,1708,297435,2119090,19.0,7.0,4.0,,,,,,,,,,,,636.0,194.0,566.0,251.0,,,,,,,,,,,,3
203,1864,297445,2119166,19.0,7.0,4.0,,,,,,,,,,,,250.0,166.0,246.0,156.0,,,,,,,,,,,,3
