296,2816,331756,2363703,17.0,4.0,2.0,14.0,21.0,4.0,17.0,8.0,13.0,6.0,,,,,520.0,142.0,354.0,66.0,559.0,296.0,113.0,287.0,189.0,168.0,152.0,,,,,10
621,6165,468466,3338742,17.0,4.0,2.0,14.0,21.0,4.0,17.0,8.0,13.0,6.0,,,,,231.0,131.0,177.0,124.0,159.0,370.0,116.0,139.0,89.0,58.0,121.0,,,,,10
771,7733,527373,3758744,17.0,4.0,2.0,14.0,21.0,4.0,17.0,8.0,13.0,6.0,,,,,164.0,21.0,296.0,153.0,240.0,203.0,206.0,182.0,200.0,100.0,150.0,,,,,10
771,7757,527376,3758761,17.0,4.0,2.0,14.0,21.0,4.0,17.0,8.0,13.0,6.0,,,,,177.0,67.0,318.0,196.0,218.0,158.0,134.0,171.0,225.0,134.0,150.0,,,,,10
898,9323,581651,4146465,17.0,4.0,2.0,14.0,21.0,4.0,17.0,8.0,13.0,6.0,,,,,239.0,156.0,212.0,92.0,274.0,77.0,177.0,230.0,123.0,273.0,127.0,,,,,10
1258,12803,103487,737647,17.0,4.0,2.0,14.0,21.0,4.0,17.0,8.0,13.0,6.0,,,,,353.0,141.0,329.0,188.0,327.0,199.0,93.0,284.0,189.0,95.0,150.0,,,,,10
1301,13446,121216,863880,17.0,4.0,2.0,14.0,21.0,4.0,17.0,8.0,13.0,6.0,,,,,203.0,167.0,235.0,183.0,286.0,244.0,208.0,166.0,223.0,181.0,521.0,,,,,10
1388,14163,159219,1132509,17.0,4.0,2.0,14.0,21.0,4.0,17.0,8.0,13.0,6.0,,,,,114.0,142.0,177.0,93.0,148.0,186.0,173.0,104.0,84.0,96.0,114.0,,,,,10
1520,15568,216217,1539316,17.0,4.0,2.0,14.0,21.0,4.0,17.0,8.0,13.0,6.0,,,,,1276.0,188.0,368.0,376.0,376.0,258.0,161.0,274.0,325.0,325.0,150.0,,,,,10
1818,18676,287570,2049315,17.0,4.0,2.0,14.0,21.0,4.0,17.0,8.0,13.0,6.0,,,,,604.0,136.0,232.0,200.0,160.0,208.0,137.0,143.0,168.0,120.0,128.0,,,,,10
1858,18996,288759,2057810,17.0,4.0,2.0,14.0,21.0,4.0,17.0,8.0,13.0,6.0,,,,,294.0,182.0,244.0,122.0,100.0,162.0,58.0,183.0,59.0,60.0,101.0,,,,,10
1878,19455,289746,2064799,17.0,4.0,2.0,14.0,21.0,4.0,17.0,8.0,13.0,6.0,,,,,344.0,208.0,328.0,400.0,568.0,256.0,1224.0,200.0,256.0,216.0,176.0,,,,,10
1941,19759,292697,2085691,17.0,4.0,2.0,14.0,21.0,4.0,17.0,8.0,13.0,6.0,,,,,137.0,134.0,184.0,95.0,104.0,153.0,97.0,143.0,80.0,96.0,80.0,,,,,10
2001,20231,295610,2106279,17.0,4.0,2.0,14.0,21.0,4.0,17.0,8.0,13.0,6.0,,,,,377.0,60.0,179.0,102.0,118.0,140.0,80.0,163.0,59.0,40.0,122.0,,,,,10
2286,23458,308314,2196411,17.0,4.0,2.0,14.0,21.0,4.0,17.0,8.0,13.0,6.0,,,,,270.0,135.0,225.0,78.0,102.0,157.0,45.0,79.0,67.0,124.0,79.0,,,,,10
